Project Title,Deep Learning,NLP,Medical/Health,Finance/Fraud,Vision,Real-Time,Unsupervised,Time-Series,Low Data,Noisy Data,Justification,Combined_Text,Semantic_Cluster,Weighted_Score,MP_num,Semantic_num,Ensemble_score,Final_num,Final_Output
1. Detecting fake business pages on social media,0,1,0,0,0,0,0,0,1,0,"This involves ML classification of social media page content (NLP on posts/profile)[1]. It uses custom social data (low availability)[2]. It does not inherently require deep nets, real-time, vision, or finance features.","1. Detecting fake business pages on social media This involves ML classification of social media page content (NLP on posts/profile)[1]. It uses custom social data (low availability)[2]. It does not inherently require deep nets, real-time, vision, or finance features.",2,3.5,0,2,0.8,1,Average
2. Predicting admission acceptance/rejection of universities,0,0,0,0,0,0,0,0,1,0,"A supervised ML model (e.g. KNN) on student profile data[3]. It is a classical classification task on tabular data, not involving NLP, vision, or other listed domains, using small institutional datasets.","2. Predicting admission acceptance/rejection of universities A supervised ML model (e.g. KNN) on student profile data[3]. It is a classical classification task on tabular data, not involving NLP, vision, or other listed domains, using small institutional datasets.",4,2.0,0,0,0.0,0,Easy
3. Multi-disease prediction techniques using ML,1,0,1,0,0,0,0,0,1,0,A healthcare application predicting multiple diseases (medical domain). It typically uses ML (often deep networks) on patient data[4]. It is purely health-related (not NLP/finance/vision) and uses specialized medical datasets (low availability).,3. Multi-disease prediction techniques using ML A healthcare application predicting multiple diseases (medical domain). It typically uses ML (often deep networks) on patient data[4]. It is purely health-related (not NLP/finance/vision) and uses specialized medical datasets (low availability).,1,8.0,2,2,2.0,2,Difficult
4. Predicting influx of tourism using tourism data analysis,0,0,0,0,0,0,0,1,0,0,"This is a tourism demand forecasting task (time-series). It uses historical tourism/travel data to forecast arrivals. It does not involve NLP, vision, or fraud. (Such forecasting usually uses regression or time-series ML on available tourism statistics.)","4. Predicting influx of tourism using tourism data analysis This is a tourism demand forecasting task (time-series). It uses historical tourism/travel data to forecast arrivals. It does not involve NLP, vision, or fraud. (Such forecasting usually uses regression or time-series ML on available tourism statistics.)",0,2.0,0,1,0.4,0,Easy
5. Fraud detection in e-commerce,1,0,0,1,0,1,1,0,0,0,E-commerce fraud detection is a financial/security ML task. Modern systems often use deep learning (e.g. CNN/LSTM) on transaction data[5] and operate in (near) real time. It is distinct from NLP or vision domains.,5. Fraud detection in e-commerce E-commerce fraud detection is a financial/security ML task. Modern systems often use deep learning (e.g. CNN/LSTM) on transaction data[5] and operate in (near) real time. It is distinct from NLP or vision domains.,2,8.5,2,2,2.0,2,Difficult
6. Cyberbullying in live chatting detection using ML,1,1,0,0,0,1,0,0,0,1,"Detecting cyberbullying in live chat uses NLP on chat messages and ML/DL classification[6]. It requires real-time moderation of user-generated text (noisy social media content) and is not related to health, finance, or vision.","6. Cyberbullying in live chatting detection using ML Detecting cyberbullying in live chat uses NLP on chat messages and ML/DL classification[6]. It requires real-time moderation of user-generated text (noisy social media content) and is not related to health, finance, or vision.",2,7.5,1,2,1.4,1,Average
7. Cyberbullying detection on social media using ML and DL,1,1,0,0,0,1,0,0,0,1,"Similar to #6, this uses NLP (text) and ML/DL to flag abusive social media content. Real-time detection is likely. It’s entirely social media text analysis, with no medical/vision domain.","7. Cyberbullying detection on social media using ML and DL Similar to #6, this uses NLP (text) and ML/DL to flag abusive social media content. Real-time detection is likely. It’s entirely social media text analysis, with no medical/vision domain.",2,7.5,1,2,1.4,1,Average
8. Data analysis & predicting when to send mails for effective marketing,0,0,0,0,0,0,0,0,1,0,"This is a marketing analytics task using past campaign data (email logs) to predict optimal send times. It is a supervised/regression problem on structured data, not involving NLP or vision. Data is typically from internal business records.","8. Data analysis & predicting when to send mails for effective marketing This is a marketing analytics task using past campaign data (email logs) to predict optimal send times. It is a supervised/regression problem on structured data, not involving NLP or vision. Data is typically from internal business records.",0,2.0,0,1,0.4,0,Easy
9. Volume control using hand gestures (OpenCV & deep learning),1,0,0,0,1,1,0,0,1,0,"A computer vision system for hand-gesture control in real time[7]. It uses CNNs (deep learning) or MediaPipe on live video (OpenCV), and operates immediately. No NLP or financial domain is involved.","9. Volume control using hand gestures (OpenCV & deep learning) A computer vision system for hand-gesture control in real time[7]. It uses CNNs (deep learning) or MediaPipe on live video (OpenCV), and operates immediately. No NLP or financial domain is involved.",3,9.0,2,2,2.0,2,Difficult
10. Analysing customers’ personality for business improvement using ML,1,1,0,0,0,0,0,0,1,0,"Likely uses behavioral or textual data to infer personality (NLP + ML). It’s a business analytics task (not medical/vision). Data is custom (surveys/social profiles), so limited. It does not inherently use finance domain or real-time processing.","10. Analysing customers’ personality for business improvement using ML Likely uses behavioral or textual data to infer personality (NLP + ML). It’s a business analytics task (not medical/vision). Data is custom (surveys/social profiles), so limited. It does not inherently use finance domain or real-time processing.",0,6.5,1,1,1.0,1,Average
11. Fake job recruitment detection using ML,0,1,0,0,0,0,0,0,0,0,"Classifies online job ads as real or scam[8]. It is primarily NLP (analyzing job post text) with ML classifiers (e.g. NB, RF[8]). It’s not a vision, finance, or medical problem.","11. Fake job recruitment detection using ML Classifies online job ads as real or scam[8]. It is primarily NLP (analyzing job post text) with ML classifiers (e.g. NB, RF[8]). It’s not a vision, finance, or medical problem.",2,1.5,0,2,0.8,1,Average
12. AI-powered mental health assistant/chatbot,1,1,1,0,0,1,0,0,0,1,An NLP-based chatbot in the health domain. It uses ML/DL (often LLMs) to converse about mental health. It operates in real time on user input (noisy text) and focuses on medical/therapy support rather than finance or vision.,12. AI-powered mental health assistant/chatbot An NLP-based chatbot in the health domain. It uses ML/DL (often LLMs) to converse about mental health. It operates in real time on user input (noisy text) and focuses on medical/therapy support rather than finance or vision.,2,10.5,2,2,2.0,2,Difficult
13. College recommendation system for student counselling,0,0,0,0,0,0,1,0,1,0,A recommender (education domain) using student features. It likely employs collaborative filtering (unsupervised learning) or supervised ML on academic data. No NLP/vision or real-time; data is specific to students/colleges.,13. College recommendation system for student counselling A recommender (education domain) using student features. It likely employs collaborative filtering (unsupervised learning) or supervised ML on academic data. No NLP/vision or real-time; data is specific to students/colleges.,4,3.5,0,0,0.0,0,Easy
14. Unsupervised ML for managing railway station safety accidents,0,0,0,0,0,0,1,0,1,0,"The title implies anomaly or clustering analysis on station accident data. It’s an unsupervised ML safety project (transport domain), not involving NLP, finance, or time-series forecasting. Data is specialized (limited availability).","14. Unsupervised ML for managing railway station safety accidents The title implies anomaly or clustering analysis on station accident data. It’s an unsupervised ML safety project (transport domain), not involving NLP, finance, or time-series forecasting. Data is specialized (limited availability).",0,3.5,0,1,0.4,0,Easy
15. Drug Response Prediction,1,0,1,0,0,0,0,0,1,0,Predicts patient response to drugs (medical domain). It uses patient and drug data in ML models (possibly deep nets). No NLP or vision; data are clinical (often limited).,15. Drug Response Prediction Predicts patient response to drugs (medical domain). It uses patient and drug data in ML models (possibly deep nets). No NLP or vision; data are clinical (often limited).,1,8.0,2,2,2.0,2,Difficult
16. Analysis of women’s safety in Indian cities using ML on tweets,0,1,0,0,0,0,0,0,0,1,"Analyzes social media (Twitter) posts on women’s safety. It uses NLP on noisy user text (social data). It’s a social analysis task, not medical/vision/finance.","16. Analysis of women’s safety in Indian cities using ML on tweets Analyzes social media (Twitter) posts on women’s safety. It uses NLP on noisy user text (social data). It’s a social analysis task, not medical/vision/finance.",2,2.5,0,2,0.8,1,Average
17. Inventory demand forecasting using ML,0,0,0,0,0,0,0,1,0,0,A time-series prediction of product demand in supply-chain. It uses historical sales data (finance/business domain) with regression or ML forecasting. No NLP or vision is involved.,17. Inventory demand forecasting using ML A time-series prediction of product demand in supply-chain. It uses historical sales data (finance/business domain) with regression or ML forecasting. No NLP or vision is involved.,0,2.0,0,1,0.4,0,Easy
18. CICIDS 2017 feature analysis for anomaly detection,0,0,0,0,0,0,1,0,0,0,"Uses the CICIDS2017 network intrusion dataset (cybersecurity). It applies feature selection and unsupervised anomaly detection on network data. No NLP, vision, finance, or time-series forecasting.","18. CICIDS 2017 feature analysis for anomaly detection Uses the CICIDS2017 network intrusion dataset (cybersecurity). It applies feature selection and unsupervised anomaly detection on network data. No NLP, vision, finance, or time-series forecasting.",0,1.5,0,1,0.4,0,Easy
"19. Cricket player performance prediction (SVM, RF)",0,0,0,0,0,0,0,0,0,0,"A sports analytics task using player stats. It employs classical ML (SVM/RF) on numeric features. No NLP, no deep learning or vision, no health/finance aspect.","19. Cricket player performance prediction (SVM, RF) A sports analytics task using player stats. It employs classical ML (SVM/RF) on numeric features. No NLP, no deep learning or vision, no health/finance aspect.",5,0.0,0,0,0.0,0,Easy
20. Financial news sentiment & stock trend analyzer,0,1,0,1,0,0,0,0,0,0,Combines NLP on financial news with stock market forecasting. It’s a finance application using sentiment classification (text mining) and trend analysis[9]. No vision or medical elements.,20. Financial news sentiment & stock trend analyzer Combines NLP on financial news with stock market forecasting. It’s a finance application using sentiment classification (text mining) and trend analysis[9]. No vision or medical elements.,0,3.5,0,1,0.4,0,Easy
21. Mental disorder detection from social media,1,1,1,0,0,0,0,0,1,1,"Uses ML on social media text to identify mental illness (health domain)[10]. It relies on noisy user-generated content and NLP/DL classification, not vision or finance.","21. Mental disorder detection from social media Uses ML on social media text to identify mental illness (health domain)[10]. It relies on noisy user-generated content and NLP/DL classification, not vision or finance.",2,10.5,2,2,2.0,2,Difficult
22. Datapulse: prediction of stock market trends,1,0,0,1,0,0,0,1,0,0,A stock market trend prediction (finance/time-series). Likely uses time-series ML (e.g. RNNs/LSTM). No NLP or vision is mentioned; uses market data (ample availability).,22. Datapulse: prediction of stock market trends A stock market trend prediction (finance/time-series). Likely uses time-series ML (e.g. RNNs/LSTM). No NLP or vision is mentioned; uses market data (ample availability).,0,7.0,1,1,1.0,1,Average
23. NutriTrack,0,0,1,0,0,0,0,0,1,0,"Likely a nutrition-tracking application (health domain). It may use ML to analyze diet/food data. Not explicitly NLP or vision (unless image-based), but focuses on health and custom diet data (limited).","23. NutriTrack Likely a nutrition-tracking application (health domain). It may use ML to analyze diet/food data. Not explicitly NLP or vision (unless image-based), but focuses on health and custom diet data (limited).",1,5.0,1,2,1.4,1,Average
24. Vitamin Deficiency and Food Recommendation using ML,0,0,1,0,0,0,0,0,1,0,"Uses ML for nutrition: predicting vitamin deficiencies and recommending food. It’s medical/nutrition domain, probably supervised on health data. No obvious NLP/vision; data is specialized.","24. Vitamin Deficiency and Food Recommendation using ML Uses ML for nutrition: predicting vitamin deficiencies and recommending food. It’s medical/nutrition domain, probably supervised on health data. No obvious NLP/vision; data is specialized.",1,5.0,1,2,1.4,1,Average
25. Cardiopredict: heart disease prediction using ML,0,0,1,0,0,0,0,0,1,0,"Health ML project predicting heart disease risk from patient data. It’s supervised classification on medical features (e.g., vitals). No NLP or image data; uses clinical datasets.","25. Cardiopredict: heart disease prediction using ML Health ML project predicting heart disease risk from patient data. It’s supervised classification on medical features (e.g., vitals). No NLP or image data; uses clinical datasets.",1,5.0,1,2,1.4,1,Average
26. Smart Derma Trace,1,0,1,0,1,0,0,0,1,0,Likely a dermatology imaging system. It probably uses computer vision (CNN) on skin images (deep learning in health). Real-time not required; it’s not NLP or finance.,26. Smart Derma Trace Likely a dermatology imaging system. It probably uses computer vision (CNN) on skin images (deep learning in health). Real-time not required; it’s not NLP or finance.,1,10.0,2,2,2.0,2,Difficult
27. Secure Pay: Credit Card Fraud Detection,1,0,0,1,0,1,1,0,0,0,A financial fraud detection system on credit card data. Modern approaches use deep learning (CNN/LSTM) and anomaly detection[5] in real/near-real time. No NLP or vision is needed.,27. Secure Pay: Credit Card Fraud Detection A financial fraud detection system on credit card data. Modern approaches use deep learning (CNN/LSTM) and anomaly detection[5] in real/near-real time. No NLP or vision is needed.,2,8.5,2,2,2.0,2,Difficult
